name,latitude_deg,longitude_deg,iso_country
Osaka International Airport,34.7855,135.438004,Japan
Sendai Airport,38.139702,140.917007,Japan
Tokyo Haneda International Airport,35.552299,139.779999,Japan
Yokota Air Base,35.748501,139.348007,Japan
Muan International Airport,34.991406,126.382814,Korea South
Jeju International Airport,33.512058,126.492548,Korea South
Gimhae International Airport,35.179501,128.938004,Korea South
Incheon International Airport,37.469101,126.450996,Korea South
Gimpo International Airport,37.5583,126.791,Korea South
Naha Airport / JASDF Naha Air Base,26.195801,127.646004,Japan
Kadena Air Base,26.351667,127.769444,Japan
Ninoy Aquino International Airport,14.5086,121.019997,Philippines
Francisco Bangoy International Airport,7.12552,125.646004,Philippines
Mactan Cebu International Airport,10.309261,123.97974,Philippines
Lipetsk Air Base,52.634998,39.445,Russian Federation
Jorge Newbery Airpark,-34.5592,-58.4156,Argentina
Minister Pistarini International Airport,-34.8222,-58.5358,Argentina
Val de Cans/Júlio Cezar Ribeiro International Airport,-1.379279,-48.476207,Brazil
Presidente Juscelino Kubitschek International Airport,-15.869167,-47.920834,Brazil
Tancredo Neves International Airport,-19.63571,-43.966928,Brazil
Eduardo Gomes International Airport,-3.03861,-60.049702,Brazil
Hercílio Luz International Airport,-27.670279,-48.552502,Brazil
Pinto Martins International Airport,-3.775833,-38.532222,Brazil
Rio Galeão – Tom Jobim International Airport,-22.809999,-43.250557,Brazil
Guarulhos - Governador André Franco Montoro International Airport,-23.431944,-46.467778,Brazil
Porto Seguro Airport,-16.438426,-39.080584,Brazil
Deputado Luiz Eduardo Magalhães International Airport,-12.908611,-38.322498,Brazil
Eurico de Aguiar Salles Airport,-20.258,-40.285,Brazil
Comodoro Arturo Merino Benítez International Airport,-33.393001556396484,-70.78579711914062,Chile
José Joaquín de Olmedo International Airport,-2.15742,-79.883598,Ecuador
Mariscal Sucre International Airport,-0.125399,-78.354306,Ecuador
Aeropuerto Internacional Silvio Pettirossi,-25.240156,-57.519227,Paraguay
Aeropuerto Internacional Tte. Amín Ayub González,-27.227537,-55.837584,Paraguay
Aeropuerto Internacional Guaraní,-25.457186,-54.839544,Paraguay
Aeropuerto Internacional Dr. Luis Maria Argaña,-22.046499,-60.6217,Paraguay
El Dorado International Airport,4.70159,-74.1469,Colombia
Viru Viru International Airport,-17.6448,-63.135399,Bolivia
Johan Adolf Pengel International Airport,5.45283,-55.187801,Suriname
Cayenne – Félix Eboué Airport,4.819964,-52.361326,French Guiana
Jorge Chávez International Airport,-12.0219,-77.114305,Peru
Alejandro Velasco Astete International Airport,-13.535699844400002,-71.9387969971,Peru
Carrasco General Cesáreo L. Berisso International Airport,-34.835647,-56.026497,Uruguay
General José Antonio Anzoategui International Airport,10.111111,-64.692222,Venezuela
Maiquetía Simón Bolívar International Airport,10.601194,-66.991222,Venezuela
Martinique Aimé Césaire International Airport,14.591,-61.003201,Martinique
Guadeloupe - Maryse Condé International Airport,16.265301,-61.531799,Guadeloupe
Luis Munoz Marin International Airport,18.4394,-66.001801,Puerto Rico
Hewanorra International Airport,13.7332,-60.952599,St Lucia
